Gender,Race,Age,Work_Experience,Major,Grade_Point_Average,SAT_score,College_Rank,Job
Male,White,38,21,Non CS,>3,47,Elite,No Job
Female,White,46,28,Computer Science,<=3,43,Elite,No Job
Female,White,28,11,Non CS,>3,54,Elite,No Job
Male,White,38,20,Computer Science,<=3,42,Elite,Job
Male,White,50,33,Non CS,>3,74,Elite,Job
Female,White,26,6,Non CS,<=3,59,Non Elite,No Job
Male,African American,52,36,Non CS,<=3,58,Non Elite,No Job
Female,White,34,17,Non CS,<=3,29,Elite,No Job
Female,White,54,37,Non CS,>3,98,Elite,Job
Male,White,44,28,Non CS,<=3,42,Elite,No Job
Female,White,47,29,Non CS,>3,53,Non Elite,No Job
Male,White,44,27,Non CS,>3,80,Non Elite,No Job
Male,White,37,19,Non CS,<=3,61,Non Elite,No Job
Female,White,37,18,Non CS,<=3,66,Elite,No Job
Male,White,51,34,Computer Science,>3,76,Elite,Job
Male,White,25,5,Non CS,<=3,32,Non Elite,No Job
Male,White,55,35,Non CS,>3,87,Elite,Job
Female,White,26,8,Non CS,<=3,58,Non Elite,No Job
Female,White,28,12,Non CS,<=3,24,Non Elite,No Job
Female,White,26,6,Non CS,>3,59,Non Elite,No Job
Female,White,29,11,Non CS,<=3,46,Elite,No Job
Female,White,25,8,Non CS,<=3,43,Non Elite,No Job
Male,White,48,28,Non CS,<=3,60,Non Elite,No Job
Female,White,52,32,Non CS,>3,52,Non Elite,No Job
Male,White,29,12,Non CS,>3,83,Elite,No Job
Female,White,31,12,Non CS,<=3,54,Elite,No Job
Male,White,35,19,Non CS,<=3,67,Non Elite,No Job
Female,White,59,42,Non CS,<=3,16,Elite,Job
Male,White,57,38,Non CS,<=3,51,Non Elite,No Job
Male,White,38,18,Computer Science,<=3,42,Non Elite,No Job
Male,White,32,16,Computer Science,<=3,31,Non Elite,No Job
Female,White,54,35,Computer Science,<=3,51,Non Elite,No Job
Male,White,40,21,Non CS,<=3,44,Non Elite,No Job
Male,White,41,25,Non CS,<=3,44,Elite,No Job
Male,White,59,41,Computer Science,<=3,28,Non Elite,Job
Female,White,26,8,Non CS,<=3,39,Elite,No Job
Female,White,37,20,Non CS,>3,58,Non Elite,No Job
Female,African American,37,17,Non CS,<=3,46,Non Elite,No Job
Female,African American,53,35,Non CS,<=3,43,Non Elite,Job
Female,White,58,38,Non CS,>3,84,Elite,No Job
Male,White,34,18,Non CS,<=3,39,Non Elite,No Job
Male,White,51,33,Non CS,<=3,27,Non Elite,No Job
Female,White,27,9,Non CS,<=3,64,Elite,No Job
Male,White,50,34,Non CS,<=3,57,Non Elite,No Job
Female,African American,33,16,Non CS,>3,78,Elite,No Job
Female,White,26,6,Non CS,>3,85,Elite,No Job
Male,White,41,22,Non CS,<=3,48,Non Elite,No Job
Male,African American,25,7,Non CS,>3,81,Non Elite,No Job
Male,White,48,28,Non CS,<=3,33,Non Elite,No Job
Male,White,39,20,Computer Science,<=3,62,Non Elite,No Job
Male,White,38,21,Computer Science,<=3,71,Non Elite,No Job
Male,White,54,37,Non CS,<=3,36,Non Elite,No Job
Female,White,52,35,Non CS,<=3,37,Non Elite,No Job
Male,White,56,40,Non CS,>3,91,Elite,Job
Male,White,31,13,Non CS,>3,56,Non Elite,No Job
Male,White,37,20,Computer Science,>3,79,Elite,No Job
Female,White,40,21,Non CS,<=3,70,Elite,No Job
Male,White,38,18,Non CS,>3,66,Non Elite,No Job
Male,African American,41,21,Computer Science,>3,55,Non Elite,No Job
Male,White,54,35,Non CS,<=3,15,Non Elite,No Job
Male,White,39,20,Non CS,<=3,35,Non Elite,No Job
Male,White,31,13,Computer Science,<=3,64,Elite,No Job
Female,White,46,30,Non CS,>3,64,Non Elite,No Job
Male,White,45,26,Non CS,>3,66,Elite,Job
